lineage,year,country
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_A1.2.2,2018,Philippines
Asian SEA4_A1.2.1,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_D1,2018,Philippines
Asian SEA4_D1,2019,Philippines
Asian SEA4_A1.2.2,2019,Philippines
Asian SEA4_A1.2.2,2019,Philippines
Asian SEA4_A1.2.1,2019,Philippines
Asian SEA4_D1,2019,Philippines
Asian SEA4_A1.2.2,2019,Philippines
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1.5,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1.5,1999,Thailand
Asian SEA3_H1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1.5,1999,Thailand
Asian SEA3_H1,1999,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1.5,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1.5,1999,Thailand
Asian SEA3_H1,1999,Thailand
Asian SEA3_A1.1.5,1999,Thailand
Asian SEA3_H1,1999,Thailand
Asian SEA3_A1.1.5,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_A1.1.5,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_A1.1.5,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA1b,2001,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b,2002,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b_A1,2001,Indonesia
Asian SEA1b_A1,2002,Indonesia
Asian SEA1b_A1,2002,Indonesia
Asian SEA1b_A1,1997,Indonesia
Asian SEA1b_A1.1.1,2000,Indonesia
Asian SEA1b_A1.1.1,2001,Indonesia
Asian SEA1b_A1.1.1,1997,Indonesia
Asian SEA1b,2002,Indonesia
Asian SEA1b,2000,Indonesia
Asian SEA1b,2000,Indonesia
Asian SEA1b,2000,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b,2002,Indonesia
Asian SEA1b,2002,Indonesia
Asian SEA1b,2002,Indonesia
Asian SEA1b,2002,Indonesia
Asian SEA1b,1997,Indonesia
Asian SEA1b,2000,Indonesia
Asian SEA1b,2000,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b_A1.1.1,2001,Indonesia
Asian SEA1b_A1.1.1,2002,Indonesia
Asian SEA1b_A1,1997,Indonesia
Asian SEA1b,2001,Indonesia
Asian SEA1b,2002,Indonesia
B1.1,1985,Thailand
B1.1,1985,Thailand
Asian SEA3_A1.1,1985,Thailand
Asian SEA3_A1.1,1977,Thailand
B1.1,1963,Thailand
Asian SEA3_A1.1,1999,Vietnam
Asian SEA3_A1.1.3,1999,Vietnam
Asian SEA3_A1.1,1999,Vietnam
Asian SEA3_A1.1.3,1999,Vietnam
Asian SEA3_A1.1,1999,Vietnam
Asian SEA3_A1.1,2000,Vietnam
Asian SEA3_A1.1.3,2001,Vietnam
Asian SEA3_A1.1,2001,Vietnam
B1,2007,Vietnam
Asian SEA3_A1.1,2007,Vietnam
Asian SEA3_A1.1,2009,Vietnam
Asian SEA3_A1.1,2009,Vietnam
Asian SEA3_A1.1,2009,Vietnam
Asian SEA3_A1.1,2009,Vietnam
Asian SEA3_A1.1,2009,Vietnam
A1.1.1,2007,Vietnam
A1.1.1,2007,Vietnam
A1.1.1,2007,Vietnam
A1.1.1,2007,Vietnam
B1,2007,Vietnam
B1,2007,Vietnam
B1,2007,Vietnam
A1.1,2008,Vietnam
A1.1.1,2008,Vietnam
A1.1.1,2008,Vietnam
A1.1.1,2008,Vietnam
A1.1.1,2008,Vietnam
A1.1.1,2008,Vietnam
A1.1.1,2008,Vietnam
A1.1.1,2009,Vietnam
B1,2007,Vietnam
Asian SEA3_A1.1,2009,Vietnam
B1,2007,Vietnam
Asian SEA3_A1.1,2009,Vietnam
A1.1.1,2007,Vietnam
Asian SEA4_A1.1.1,2009,Philippines
Asian SEA4_A1.1.1,2009,Philippines
Asian SEA4_A1.1.1,2009,Philippines
Asian SEA4_A1.1.2,2005,Philippines
Asian SEA4_A1.1.2,2005,Philippines
Asian SEA4_B1,2005,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.1.1,2009,Philippines
Asian SEA4_A1.1.2,2005,Philippines
Asian SEA4_B1,2008,Philippines
Asian SEA4_B1,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_C1,2008,Philippines
Asian SEA4_B1,2008,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_C1,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_B1,2009,Philippines
Asian SEA4_B1.1,2009,Philippines
Asian SEA4_B1,2007,Philippines
Asian SEA4_B1,2007,Philippines
Asian SEA4_B1,2007,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.1,2008,Philippines
Asian SEA4_A1.1.1,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.1,2008,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1,2008,Philippines
Asian SEA4_A1,2008,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_C1,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1.1,2006,Philippines
Asian SEA4_A1.1,2006,Philippines
Asian SEA4_A1,2006,Philippines
Asian SEA4_B1.1,2006,Philippines
Asian SEA3_A1.1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_A1.1,2012,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_A1.1,2012,Lao
Asian SEA3_A1.1,2012,Lao
Asian SEA3_A1.1,1995,Thailand
Asian SEA1b,1989,Indonesia
Asian SEA1b,1989,Indonesia
B1.1,1999,Thailand
B1.1,1998,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1998,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2000,Thailand
B1.1,2000,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
B1.1,2001,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_H1,2000,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1998,Thailand
B1.1,1998,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
B1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2002,Thailand
Asian SEA3_H1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2000,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
B1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2000,Thailand
